mean,std,skew,kurtosis,rms,envelope_energy,spectral_centroid,spectral_bandwidth,dominant_freq,power_band_20_150Hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,wavelet_L1_energy,wavelet_L2_energy,wavelet_L3_energy,recording_id
0.0097377197265625,0.1005874483239152,9.349885572474756,89.08897994821396,0.1010576961234986,203.30492702073417,12.804473043648049,33.41325666718828,3.90625,0.0001480964850004,-236.66875,82.04843,59.280323,45.83519,23.37389,97.06912474288418,3.0140618692568055,1.1936743388896578,0
-5.63568115234375e-05,0.0133544464179971,0.5876216345441378,5.973036118354663,0.0133545653325506,3.566856482571923,27.982880522231422,34.22048802934691,15.625,1.6068330842252092e-05,-259.32825,106.97726,62.71703,22.581516,6.892742,1.3385632591671628,0.2976785707181562,0.140203695331171,1
-0.0002776245117187,0.0247055158706794,-0.6392842751022042,16.474776469615527,0.0247070757032454,12.20800656491816,35.00913462517916,80.86792861923333,11.71875,2.096764024785587e-05,-308.95566,88.32108,74.47927,42.64884,31.935858,5.3023933044472304,0.3832150226164942,0.0519516155391017,2
2.0965576171875e-06,0.0323406796129695,-0.3524170143024981,11.144008699806374,0.0323406796809266,20.918391200496817,20.575429193365306,17.37550513426837,15.625,6.014566393109547e-05,-291.02167,153.99826,59.973106,47.348057,9.862989,8.731494820289598,1.118114987329782,0.6014719372429234,3
5.30731201171875e-05,0.0851292041890934,-0.894726734037084,14.024923364651375,0.0851292207330975,144.93965628347306,20.438646528966785,8.20066259012627,19.53125,0.0006134945016804,-284.61423,159.19322,88.140396,50.330017,21.113415,63.24724381513751,8.639710483620131,0.5620566267208515,4
0.0001769836425781,0.0593127179354071,-0.0704562039614566,0.6234173725764856,0.0593129819861968,70.36028338992224,16.238284572474974,13.392318156243196,15.625,0.0001619366481626,-228.37247,112.53673,97.10315,31.253616,26.614832,32.48423023222402,2.8961938675943237,0.3227236864852622,5
-1.80877685546875e-05,0.0652460239569004,0.3690798841026618,9.431882019657497,0.0652460264640828,85.14087563249676,20.850461336411193,15.26705574765005,15.625,0.0003781259173517,-256.61145,166.49448,84.30271,44.88824,20.396755,34.0436006571332,7.643577091959466,1.3139413430713265,6
-8.36181640625e-06,0.0241173831101817,-0.1766718426778447,1.358884351810434,0.024117384559758,11.632963782129812,14.677535793849302,17.759639829932755,7.8125,3.295482072831889e-05,-282.075,54.14505,83.198875,53.836132,17.429733,5.463227266215494,0.4250921230952205,0.0193481690886291,7
-6.1199951171875e-05,0.0123158972167536,0.2446556832516869,11.672245272993068,0.0123160492727036,3.0336631475042557,34.744770853993984,57.81697172578375,15.625,1.5377021307398315e-05,-228.30627,52.47516,59.27411,19.861294,18.98714,1.083461245960095,0.2687111809440502,0.1110275761501435,8
-6.129150390625e-05,0.0148433606488662,0.9629928156102566,14.921216087049334,0.0148434871913834,4.406544245426358,31.227430208475223,28.350177286325337,15.625,2.6249452994309068e-05,-252.27078,126.74031,42.086647,32.00398,7.753966,1.2410907287515094,0.6598475803110648,0.2661854138067078,9
-2.532958984375e-05,0.0319301682378986,1.1754812876671183,22.17352790729323,0.0319301782846358,20.390719005325444,35.276369660996416,17.754434078607233,39.0625,0.000200929785182,-273.5067,144.02516,77.4991,32.952984,14.916906,3.944481963064004,5.448384552862276,1.1531694006815507,10
